00_1_0, 0 0 0 0 0 0 0 0 0 1 0 2 4 5 5 4 6 0 2 1 1 1 0 0 0 0 0 0 0 0 0 
00_1_1, 0 2 0 0 1 1 0 1 0 4 1 2 2 1 3 0 0 1 2 3 0 1 1 2 0 1 1 0 1 0 1 
01_0_0, 0 0 0 1 0 0 0 0 0 0 1 3 1 2 4 3 4 6 2 4 0 0 0 1 0 0 0 0 0 0 0 
01_0_1, 0 0 0 0 1 1 0 2 1 0 0 1 1 2 3 3 5 2 1 4 1 4 0 0 0 0 0 0 0 0 0 
02_1_0, 0 0 0 0 0 0 0 0 0 1 0 1 1 3 9 5 3 3 4 0 1 0 0 1 0 0 0 0 0 0 0 
02_1_1, 0 1 0 0 1 0 0 3 0 1 0 4 3 3 1 0 1 1 2 2 2 0 0 1 3 0 1 1 0 0 1 
03_0_0, 0 1 0 0 0 0 0 0 0 0 2 2 1 4 5 4 4 4 1 1 2 1 0 0 0 0 0 0 0 0 0 
03_0_1, 0 0 0 0 0 2 0 2 1 0 0 1 0 1 1 6 2 5 1 5 2 2 1 0 0 0 0 0 0 0 0 
04_0_0, 0 0 1 0 0 0 0 0 2 0 2 2 1 1 2 3 4 5 3 2 1 1 1 0 0 1 0 0 0 0 0 
04_0_1, 0 0 1 1 0 0 1 1 1 0 0 0 2 2 5 4 2 0 7 3 0 0 0 2 0 0 0 0 0 0 0 
06_0_0, 0 0 0 1 0 0 0 0 0 0 2 1 2 5 5 0 4 4 5 0 1 1 0 0 1 0 0 0 0 0 0 
06_0_1, 0 0 0 1 2 0 1 0 1 0 0 1 2 0 3 4 5 1 5 3 3 0 0 0 0 0 0 0 0 0 0 
07_0_0, 0 1 0 0 0 0 0 0 0 0 0 1 2 7 2 3 4 5 1 3 2 0 0 0 1 0 0 0 0 0 0 
07_0_1, 0 0 0 1 0 0 2 2 0 0 1 0 2 0 5 2 4 2 4 2 3 2 0 0 0 0 0 0 0 0 0 
08_0_0, 0 0 0 1 0 0 0 0 0 1 1 3 2 3 4 4 2 3 2 3 1 0 0 1 1 0 0 0 0 0 0 
09_0_0, 0 0 0 1 0 0 0 0 0 0 0 3 1 3 5 2 2 7 6 1 1 0 1 0 0 0 0 0 0 0 0 
09_0_1, 0 0 0 1 0 1 0 1 1 1 0 1 0 1 3 2 4 4 7 2 3 0 0 0 0 0 0 0 0 0 0 
10_1_0, 0 0 0 0 0 0 0 0 0 0 1 3 4 2 5 7 4 2 2 0 0 1 1 0 0 0 0 0 0 0 0 
10_1_1, 0 2 0 0 0 2 0 1 0 2 2 2 5 2 0 0 1 2 3 0 0 2 1 1 0 1 0 1 0 1 1 
11_0_0, 0 0 0 1 0 0 0 0 0 0 0 1 3 3 6 3 5 3 3 2 1 0 1 0 0 0 0 0 0 0 0 
11_0_1, 0 1 0 0 0 1 0 2 0 1 0 1 0 1 3 3 4 2 6 4 0 3 0 0 0 0 0 0 0 0 0 
12_1_0, 0 0 0 0 0 0 0 0 0 1 0 3 2 5 4 2 8 3 1 2 0 1 0 0 0 0 0 0 0 0 0 
12_1_1, 2 0 0 0 1 0 1 0 1 0 5 1 2 2 3 0 1 4 0 0 1 2 0 1 1 0 0 1 1 2 0 
14_0_0, 0 0 1 0 0 0 0 0 0 0 0 1 1 5 2 6 4 6 3 0 1 1 0 0 0 1 0 0 0 0 0 
14_0_1, 0 1 0 1 0 0 2 0 1 0 0 0 1 2 5 0 4 3 2 5 1 3 1 0 0 0 0 0 0 0 0 
16_1_0, 0 0 0 0 0 0 0 1 0 0 1 1 3 5 4 7 3 3 0 2 1 0 1 0 0 0 0 0 0 0 0 
16_1_1, 2 0 0 0 0 0 0 2 1 1 4 2 0 1 3 2 0 2 1 2 1 1 0 1 2 0 2 0 1 0 1 
17_1_0, 0 0 0 0 0 0 0 0 0 0 2 2 0 7 4 4 3 2 4 2 1 0 0 1 0 0 0 0 0 0 0 
17_1_1, 2 0 0 0 0 0 0 3 1 2 0 3 3 3 1 0 0 0 3 1 2 1 1 0 3 0 0 1 0 1 1 
19_0_0, 0 0 1 0 0 0 0 0 0 0 1 2 1 8 3 3 5 3 1 2 1 0 1 0 0 0 0 0 0 0 0 
19_0_1, 0 0 0 0 0 3 0 1 0 1 0 0 2 0 3 4 4 2 2 4 2 2 2 0 0 0 0 0 0 0 0 
20_1_0, 0 0 0 0 0 0 0 0 0 1 1 0 4 3 5 5 4 4 2 1 0 1 0 0 0 1 0 0 0 0 0 
20_1_1, 0 1 1 0 0 1 1 1 1 1 3 1 3 2 1 1 0 3 1 0 3 0 2 0 2 0 0 1 0 0 2 
21_0_0, 0 0 1 0 0 0 0 0 0 0 1 1 3 3 7 2 6 2 3 2 0 0 1 0 0 0 0 0 0 0 0 
21_0_1, 0 0 0 0 1 1 1 1 0 1 0 0 1 1 3 5 4 2 2 2 3 4 0 0 0 0 0 0 0 0 0 
